	dataflowId	agencyId	version
431	BCS_INN	ABS	1.0.0
432	BCS_INNACT	ABS	1.0.0
433	BCS_INNSIG	ABS	1.0.0
434	BIRTHS_AGE_FATHER	ABS	1.0.0
435	BIRTHS_AGE_MOTHER	ABS	1.0.0
436	BIRTHS_MONTH_OCCURRENCE	ABS	1.0.0
437	BIRTHS_SUMMARY	ABS	1.0.0
438	BOP	ABS	1.0.0
439	BOP_FACTOR	ABS	1.0.0
440	BOP_GOODS	ABS	1.0.0
441	BOP_STATE	ABS	1.0.0
442	BUILDING_ACTIVITY	ABS	1.0.0
443	BUSINESS_TURNOVER	ABS	1.0.0
444	BWD	ABS	1.0.0
445	C21_G01_CED	ABS	1.0.0
446	C21_G01_LGA	ABS	1.0.0
447	C21_G01_POA	ABS	1.0.0
448	C21_G01_SA2	ABS	1.0.0
449	C21_G01_SAL	ABS	1.0.0
450	C21_G01_SED	ABS	1.0.0
451	C21_G01_SUA	ABS	1.0.0
452	C21_G01_UCL	ABS	1.0.0
453	C21_G02_CED	ABS	1.0.0
454	C21_G02_LGA	ABS	1.0.0
455	C21_G02_POA	ABS	1.0.0
456	C21_G02_SA2	ABS	1.0.0
457	C21_G02_SAL	ABS	1.0.0
458	C21_G02_SED	ABS	1.0.0
459	C21_G02_SUA	ABS	1.0.0
460	C21_G02_UCL	ABS	1.0.0
461	C21_G03_CED	ABS	1.0.0
462	C21_G03_LGA	ABS	1.0.0
463	C21_G03_POA	ABS	1.0.0
464	C21_G03_SA2	ABS	1.0.0
465	C21_G03_SAL	ABS	1.0.0
466	C21_G03_SED	ABS	1.0.0
467	C21_G03_SUA	ABS	1.0.0
468	C21_G03_UCL	ABS	1.0.0
469	C21_G04_CED	ABS	1.0.0
470	C21_G04_LGA	ABS	1.0.0
471	C21_G04_POA	ABS	1.0.0
472	C21_G04_SA2	ABS	1.0.0
473	C21_G04_SAL	ABS	1.0.0
474	C21_G04_SED	ABS	1.0.0
475	C21_G04_SUA	ABS	1.0.0
476	C21_G04_UCL	ABS	1.0.0
477	C21_G05_CED	ABS	1.0.0
478	C21_G05_LGA	ABS	1.0.0
479	C21_G05_POA	ABS	1.0.0
480	C21_G05_SA2	ABS	1.0.0
481	C21_G05_SAL	ABS	1.0.0
482	C21_G05_SED	ABS	1.0.0
483	C21_G05_SUA	ABS	1.0.0
484	C21_G05_UCL	ABS	1.0.0
485	C21_G06_CED	ABS	1.0.0
486	C21_G06_LGA	ABS	1.0.0
487	C21_G06_POA	ABS	1.0.0
488	C21_G06_SA2	ABS	1.0.0
489	C21_G06_SAL	ABS	1.0.0
490	C21_G06_SED	ABS	1.0.0
491	C21_G06_SUA	ABS	1.0.0
492	C21_G06_UCL	ABS	1.0.0
493	C21_G07_CED	ABS	1.0.0
494	C21_G07_LGA	ABS	1.0.0
495	C21_G07_POA	ABS	1.0.0
496	C21_G07_SA2	ABS	1.0.0
497	C21_G07_SAL	ABS	1.0.0
498	C21_G07_SED	ABS	1.0.0
499	C21_G07_SUA	ABS	1.0.0
500	C21_G07_UCL	ABS	1.0.0
501	C21_G08_CED	ABS	1.0.0
502	C21_G08_LGA	ABS	1.0.0
503	C21_G08_POA	ABS	1.0.0
504	C21_G08_SA2	ABS	1.0.0
505	C21_G08_SAL	ABS	1.0.0
506	C21_G08_SED	ABS	1.0.0
507	C21_G08_SUA	ABS	1.0.0
